iter	Passed	Remaining
405	6933	3312
406	6946	3294
407	6960	3275
408	6974	3256
409	6988	3238
410	7001	3219
411	7015	3201
412	7028	3182
413	7042	3163
414	7056	3145
415	7070	3127
416	7084	3109
417	7099	3091
418	7111	3072
419	7124	3053
420	7137	3034
421	7151	3016
422	7164	2997
423	7175	2978
424	7186	2959
425	7197	2939
426	7208	2920
427	7218	2901
428	7229	2881
429	7241	2862
430	7254	2844
431	7265	2825
432	7278	2807
433	7290	2788
434	7300	2769
435	7311	2750
436	7321	2730
437	7332	2712
438	7343	2693
439	7354	2674
440	7365	2655
441	7376	2636
442	7390	2619
443	7403	2601
444	7417	2583
445	7431	2565
446	7444	2547
447	7457	2530
448	7470	2512
449	7483	2494
450	7497	2476
451	7509	2458
452	7523	2441
453	7535	2423
454	7550	2406
455	7562	2388
456	7574	2370
457	7585	2351
458	7595	2333
459	7606	2314
460	7617	2296
461	7628	2278
462	7640	2260
463	7654	2243
464	7668	2226
465	7682	2209
466	7696	2191
467	7707	2173
468	7720	2156
469	7731	2138
470	7744	2121
471	7756	2103
472	7769	2085
473	7781	2068
474	7793	2050
475	7806	2033
476	7818	2016
477	7832	1999
478	7846	1981
479	7857	1964
480	7868	1946
481	7882	1929
482	7892	1911
483	7904	1894
484	7918	1877
485	7931	1860
486	7945	1843
487	7956	1826
488	7970	1809
489	7982	1791
490	7996	1775
491	8008	1757
492	8022	1741
493	8035	1724
494	8048	1707
495	8062	1690
496	8075	1673
497	8087	1656
498	8100	1639
499	8112	1622
500	8123	1605
501	8134	1588
502	8146	1571
503	8158	1554
504	8171	1537
505	8184	1520
506	8196	1503
507	8207	1486
508	8219	1469
509	8233	1452
510	8245	1436
511	8257	1419
512	8268	1402
513	8281	1385
514	8291	1368
515	8302	1351
516	8313	1334
517	8324	1317
518	8336	1301
519	8348	1284
520	8360	1267
521	8371	1250
522	8382	1234
523	8393	1217
524	8405	1200
525	8416	1184
526	8442	1169
527	8456	1153
528	8469	1136
529	8480	1120
530	8491	1103
531	8503	1086
532	8514	1070
533	8524	1053
534	8539	1037
535	8552	1021
536	8565	1004
537	8577	988
538	8591	972
539	8606	956
540	8618	939
541	8631	923
542	8644	907
543	8658	891
544	8669	874
545	8680	858
546	8691	842
547	8702	825
548	8712	809
549	8723	793
550	8739	777
551	8751	760
552	8762	744
553	8774	728
554	8785	712
555	8796	696
556	8807	679
557	8819	663
558	8830	647
559	8841	631
560	8853	615
561	8864	599
562	8875	583
563	8886	567
564	8898	551
565	8910	535
566	8921	519
567	8933	503
568	8944	487
569	8955	471
570	8966	455
571	8977	439
572	8988	423
573	8999	407
574	9010	391
575	9021	375
576	9034	360
577	9045	344
578	9057	328
579	9069	312
580	9080	296
581	9092	281
582	9105	265
583	9119	249
584	9133	234
585	9148	218
586	9163	202
587	9176	187
588	9192	171
589	9206	156
590	9226	140
591	9255	125
592	9270	109
593	9290	93
594	9303	78
595	9316	62
596	9330	46
597	9342	31
598	9354	15
599	9367	0
