iter	Logloss
164	0.5973798714
165	0.5973491336
166	0.5973084172
167	0.5972864406
168	0.5972536906
169	0.5972173254
170	0.5971925932
171	0.5971514749
172	0.5971098314
173	0.5970084577
174	0.5969828109
175	0.5969441751
176	0.5969213399
177	0.596891074
178	0.5967905072
179	0.5967641627
180	0.5967398762
181	0.5967104954
182	0.5966772477
183	0.5966454623
184	0.5966132197
185	0.5965865337
186	0.5965164599
187	0.5964888023
188	0.5964548986
189	0.5963967355
190	0.596372063
191	0.5963478055
192	0.5962963981
193	0.5962755502
194	0.5962524566
195	0.5962308836
196	0.5961992229
197	0.5961804268
198	0.596130516
199	0.5961043998
200	0.5960819278
201	0.5960606131
202	0.5960322713
203	0.5959583274
204	0.5959320721
205	0.5958958194
206	0.5958722288
207	0.595850214
208	0.5958249861
209	0.5958029595
210	0.5957813863
211	0.5957603776
212	0.5956493221
213	0.5956178597
214	0.5955851969
215	0.5955616641
216	0.5955433667
217	0.595485698
218	0.5954625968
219	0.5954419613
220	0.5954198751
221	0.5953699657
222	0.5953462261
223	0.5953291108
224	0.5952946221
225	0.5952758858
226	0.5952384102
227	0.5952156582
228	0.5951945058
229	0.5951698059
230	0.5951432038
231	0.5951282945
232	0.5950502671
233	0.5950338086
234	0.595010638
235	0.5949903659
236	0.594930691
237	0.5949126915
238	0.59487787
239	0.5948557017
240	0.5948346629
241	0.5947771757
242	0.5947605506
243	0.5947376499
244	0.5947236965
245	0.5946425885
246	0.5946276271
247	0.594608452
248	0.5945708419
249	0.5945493656
250	0.5944994713
251	0.5944901179
252	0.5944644611
253	0.5944411862
254	0.5944123596
255	0.5943902147
256	0.5943659194
257	0.5943513725
258	0.5942999192
259	0.5942324224
260	0.5941895128
261	0.5941718286
262	0.5941516576
263	0.5941350138
264	0.5941163857
265	0.5940980414
266	0.5940770198
267	0.5940593031
268	0.5940418922
269	0.5940119887
270	0.5939688073
271	0.5939446708
272	0.5939178724
273	0.5938922787
274	0.5938826168
275	0.5938266657
276	0.5938065765
277	0.5937913215
278	0.5937378178
279	0.5937181023
280	0.5937001714
281	0.593677659
282	0.5936597248
283	0.5936397322
284	0.5936257452
285	0.5935573392
286	0.5935421707
287	0.593514037
288	0.5934908121
289	0.5934749626
290	0.5934192706
291	0.5933634308
292	0.5933431121
293	0.5933241735
294	0.5933107275
295	0.5932925654
296	0.5932783941
297	0.5932710074
298	0.5932582817
299	0.5932451712
300	0.593164545
301	0.5931044942
302	0.5930858394
303	0.5930711319
304	0.5930426663
305	0.593018273
306	0.5929959299
307	0.5929556062
308	0.592928258
309	0.592904043
310	0.5928893322
311	0.5928709044
312	0.5928502974
313	0.5928004575
314	0.5927824371
315	0.5927631205
316	0.5927463476
317	0.592725584
318	0.592714341
319	0.5926867124
320	0.5926493603
321	0.5926331025
322	0.5926029524
323	0.5925797207
324	0.5925621371
325	0.592548518
326	0.5925297699
327	0.592515924
328	0.5925013131
329	0.5924870919
330	0.5924734205
331	0.5924602971
332	0.5924398349
333	0.5924047965
334	0.592382565
335	0.5923581608
336	0.5923332368
337	0.5923203795
338	0.5922897828
339	0.5922607937
340	0.592243286
341	0.5922279822
342	0.5922108174
343	0.5921848681
344	0.5921500275
345	0.5921348504
346	0.5921116515
347	0.5920862882
348	0.5920751353
349	0.5920274511
350	0.5919911785
351	0.591965386
352	0.5919446415
353	0.5919284499
354	0.5919140739
355	0.5918971631
356	0.5918786152
357	0.5918348043
358	0.5918075875
359	0.5917908042
360	0.5917655094
361	0.5916722949
362	0.5916485276
363	0.5916145785
364	0.5916002218
365	0.5915610909
366	0.5915511157
367	0.5915383041
368	0.5915196019
369	0.5914829196
370	0.5914286717
371	0.5914113194
372	0.5913865893
373	0.591365346
374	0.5912811626
375	0.5912575802
376	0.5912440111
377	0.591227638
378	0.5912016279
379	0.5911787824
380	0.5911642257
381	0.5911466614
382	0.5911227756
383	0.5911045199
384	0.5910825917
385	0.5910465348
386	0.5910221461
387	0.5909839549
388	0.5909698073
389	0.5909225877
390	0.5908411906
391	0.590822502
392	0.5908028375
393	0.590760121
394	0.5907393286
395	0.5907211396
396	0.5906939727
397	0.5906789362
398	0.5906629747
399	0.5906494219
400	0.5906368929
401	0.5905658378
402	0.5905315603
403	0.590502647
404	0.5904532059
405	0.5904258848
406	0.5903923358
407	0.590371126
408	0.5903475173
409	0.5903259663
410	0.5902482946
411	0.5902200058
412	0.5902004642
413	0.5901810075
414	0.5901481619
415	0.5901291548
416	0.5901012963
417	0.5900634072
418	0.5900126473
419	0.5899647518
420	0.5899386067
421	0.5899146478
422	0.5898397293
423	0.5898036863
424	0.5897567996
425	0.589707376
426	0.5896398105
427	0.5896290805
428	0.5896082398
429	0.589577994
430	0.5895423874
431	0.5894910362
432	0.5894192707
433	0.589368447
434	0.589346136
435	0.5892757027
436	0.5892594235
437	0.589242006
438	0.5891919059
439	0.5891583471
440	0.589136124
441	0.5890719782
442	0.5890538727
443	0.5890257924
444	0.5889876084
445	0.5889571592
446	0.5889386754
447	0.5888758077
448	0.5887898159
449	0.5887680022
450	0.588748367
451	0.5887133308
452	0.5886967043
453	0.5886536003
454	0.5885848851
455	0.5885506481
456	0.5885342305
457	0.588512249
458	0.5884768267
459	0.5884627819
460	0.5884414804
461	0.588406654
462	0.5883509303
463	0.5883305227
464	0.5882713928
465	0.5882256741
466	0.5881964065
467	0.588155837
468	0.5881276629
469	0.5880734248
470	0.5880403955
471	0.5880024761
472	0.587980168
473	0.5879515003
474	0.5879012859
475	0.5878503414
476	0.5878359489
477	0.5878199143
478	0.5877488591
479	0.5877210209
480	0.5876957266
481	0.5876692536
482	0.5876385637
483	0.5875962763
484	0.5875811302
485	0.5875599975
486	0.5875109361
487	0.5874828841
488	0.5874657895
489	0.5874303503
490	0.5874050672
491	0.5873877095
492	0.5873561864
493	0.5873337388
494	0.5872963167
495	0.5872632862
496	0.5872382614
497	0.5872107176
498	0.5871900417
499	0.5871655646
500	0.5871372186
501	0.5871165943
502	0.5870929483
503	0.5870746988
504	0.5870567458
505	0.5870398644
506	0.5870168975
507	0.586991185
508	0.5869786413
509	0.5869476881
510	0.5868931626
511	0.5868697167
512	0.5868510087
513	0.5868130487
514	0.5868008714
515	0.5867518261
516	0.5867271721
517	0.5867034707
518	0.5866768723
519	0.586631244
520	0.5866107117
521	0.5865766935
522	0.5865479233
523	0.5865317161
524	0.5865023467
525	0.5864349859
526	0.5864119165
527	0.5863791388
528	0.5863600542
529	0.5863401866
530	0.5863191737
531	0.5862718498
532	0.5862563849
533	0.5862234396
534	0.5862035056
535	0.5861814601
536	0.5861612478
537	0.586130419
538	0.5861093433
539	0.5860855435
540	0.586059977
541	0.5860303509
542	0.5860143756
543	0.5859903521
544	0.585961276
545	0.5859359438
546	0.5859217398
547	0.5859028699
548	0.5858852053
549	0.5858686083
550	0.5858457602
551	0.5858182375
552	0.5857826966
553	0.5857573482
554	0.5857204966
555	0.5856808463
556	0.585662912
557	0.5856399564
558	0.5856196571
559	0.5855892505
560	0.585565582
561	0.5855427699
562	0.5855256137
563	0.5854978054
564	0.5854791724
565	0.585458653
566	0.5854316638
567	0.5853859828
568	0.5853698257
569	0.5853508109
570	0.5853278079
571	0.585314312
572	0.5852893558
573	0.5852649613
574	0.5852457664
575	0.5852270989
576	0.5852039978
577	0.5851766033
578	0.5851335886
579	0.5850946743
580	0.5850842873
581	0.5850670356
582	0.5850416446
583	0.5850294857
584	0.5850084947
585	0.5849946392
586	0.584978997
587	0.584919481
588	0.5848930161
589	0.5848490648
590	0.584822972
591	0.5847939462
592	0.5847694107
593	0.584746673
594	0.5847285531
595	0.5847022445
596	0.5846835277
597	0.58466508
598	0.5846465555
599	0.5846218014
