iter	Logloss
0	0.6878231413
1	0.682872022
2	0.6782532236
3	0.6740061889
4	0.6699425035
5	0.6660310284
6	0.6625220335
7	0.6590418164
8	0.6558333244
9	0.6528065425
10	0.6498975193
11	0.6471665828
12	0.644622848
13	0.6423288873
14	0.6400763042
15	0.6380758713
16	0.6362847837
17	0.6345241803
18	0.6328221922
19	0.6311711409
20	0.6296203059
21	0.628200908
22	0.6268233003
23	0.6255585461
24	0.6243459575
25	0.62321867
26	0.6221079456
27	0.6210712521
28	0.6200762337
29	0.6192209217
30	0.6183546958
31	0.6175923266
32	0.616818703
33	0.6160879354
34	0.615379156
35	0.6147532707
36	0.6141284693
37	0.6135033561
38	0.6129416835
39	0.612415495
40	0.6118699466
41	0.6114487615
42	0.6109707279
43	0.6105974989
44	0.6101942156
45	0.6098766785
46	0.6094944111
47	0.6091485842
48	0.6088191674
49	0.6084672301
50	0.6081801654
51	0.6079487496
52	0.607648969
53	0.6074300062
54	0.6071391829
55	0.606836733
56	0.6065592492
57	0.6062940342
58	0.606120489
59	0.6059096616
60	0.6056558011
61	0.6054249181
62	0.6052454752
63	0.6050422506
64	0.6048562518
65	0.6046942933
66	0.6045147058
67	0.6043265099
68	0.6042018304
69	0.6040599356
70	0.6039075636
71	0.6037733862
72	0.6036071144
73	0.6034459864
74	0.6033152577
75	0.6032069848
76	0.603108257
77	0.6029951088
78	0.6028773174
79	0.6027804638
80	0.6026687838
81	0.6025154461
82	0.6024053572
83	0.6023133721
84	0.602230964
85	0.6021439345
86	0.6020386572
87	0.6019464513
88	0.601859231
89	0.6017587414
90	0.6016704524
91	0.6015822535
92	0.6015008179
93	0.6014182591
94	0.6013446577
95	0.6012515042
96	0.601185611
97	0.6011168258
98	0.6010375241
99	0.6009709359
100	0.6008818592
101	0.6008003996
102	0.6007222129
103	0.6005898958
104	0.600523206
105	0.6004660995
106	0.600404608
107	0.6003265993
108	0.6002656622
109	0.6001899995
110	0.6001448813
111	0.60005048
112	0.5999835166
113	0.5999350379
114	0.599883109
115	0.5998231421
116	0.5997647461
117	0.5997123942
118	0.5996499862
119	0.5995944068
120	0.599557885
121	0.5994924836
122	0.5993968658
123	0.5993440058
124	0.5992939924
125	0.599245353
126	0.5992079743
127	0.5991474898
128	0.5991036105
129	0.5990233558
130	0.5989894866
131	0.5988971751
132	0.5988664248
133	0.5988104894
134	0.5987612439
135	0.59871315
136	0.5986695387
137	0.5985844023
138	0.5985512275
139	0.5984765172
140	0.5984340425
141	0.598377146
142	0.5983268273
143	0.5982818752
144	0.5982419049
145	0.5981573759
146	0.5980727249
147	0.5980389967
148	0.5980019533
149	0.5979742968
150	0.5979418476
151	0.5978713346
152	0.597836873
153	0.5977892172
154	0.5977561726
155	0.5976928376
156	0.5976653281
157	0.5976311767
158	0.5975953067
159	0.5975516344
160	0.5975195985
161	0.5974830348
162	0.5974462472
163	0.5974120118
